MCS,Math and Computer Science,education,"42.349276, -71.105060","42.349022, -71.103037","42.348854, -71.103071","42.349154, -71.105098",,,,,,,,
MET,Metropolitan College,education,"42.350408, -71.107472","42.350596, -71.107411","42.350652, -71.107869","42.350461, -71.107915",,,,,,,,
MOR,Morse Auditorium,education,"42.348708, -71.100833","42.348740, -71.101085","42.349067, -71.101012","42.349037, -71.100762",,,,,,,,
MUG,Mugar Memorial Library,education,"42.351395, -71.108192","42.350803, -71.108322","42.350726, -71.107675","42.350851, -71.107649","42.350859, -71.107731","42.351321, -71.107622",,,,,,
PHO,Photonics Building,education,"42.349218, -71.105253","42.348902, -71.105321","42.349153, -71.106644","42.349381, -71.106598",,,,,,,,
PRB,Physics Research Building,education,"42.348704, -71.100797","42.348433, -71.100855","42.348571, -71.101711","42.348618, -71.101714","42.348812, -71.101669",,,,,,,
PSY,Psychology,education,"42.349008, -71.105132","42.348864, -71.105154","42.348506, -71.103173","42.348671, -71.103120",,,,,,,,
RCH,Rich Hall,residence,"42.353228, -71.120537","42.353668, -71.120440","42.353704, -71.120750","42.353264, -71.120840",,,,,,,,
REG,Office of the University Registrar,services,"42.351577, -71.115255","42.351311, -71.115308","42.351273, -71.114973","42.351547, -71.114924",,,,,,,,
SAL,Sailing Pavilion,athletic,"42.351945, -71.110128","42.352009, -71.110100","42.352074, -71.110379","42.352011, -71.110406",,,,,,,,
SAR,Sargent College,education,"42.349700, -71.101757","42.349969, -71.101700","42.350033, -71.102218","42.349761, -71.102276",,,,,,,,
SCI,Science Center,education,"42.348732, -71.100619","42.348062, -71.100747","42.348037, -71.100544","42.348296, -71.099608","42.348627, -71.099761",,,,,,,
SED,School of Education,education,"42.349575, -71.100640","42.349886, -71.100574","42.349946, -71.101069","42.349633, -71.101137",,,,,,,,
SHA,School of Hospitality Administration,education,"42.351062, -71.117356","42.350638, -71.117441","42.350668, -71.117668","42.351090, -71.117565",,,,,,,,
SHS,Student Health Services,services,"42.351348, -71.115584","42.351618, -71.115524","42.351577, -71.115255","42.351311, -71.115308",,,,,,,,
SLB,Science and Engineering Library,education,"42.348495, -71.102049","42.348286, -71.102113","42.348364, -71.102546","42.348565, -71.102486",,,,,,,,
SLP,Sleeper Hall,residence,"42.353158, -71.120532","42.353045, -71.120803","42.352629, -71.120504","42.352735, -71.120234",,,,,,,,
SMG,Questrom School of Business,education,"42.349834, -71.100269","42.349722, -71.099084","42.349389, -71.099144","42.349370, -71.099273","42.349439, -71.099824","42.349541, -71.100284","42.349581, -71.100347",,,,,
SSW,School of Social Work,education,"42.350520, -71.105189","42.350915, -71.105136","42.350921, -71.105301","42.350651, -71.105337","42.350655, -71.105422","42.350934, -71.105405","42.350942, -71.105554","42.350566, -71.105594",,,,
STH,School of Theology,education,"42.350408, -71.107472","42.350596, -71.107411","42.350524, -71.106799","42.350334, -71.106882",,,,,,,,
STO,Stone Science Building,education,"42.350013, -71.104009","42.350212, -71.103946","42.350240, -71.104164","42.350362, -71.104137","42.350306, -71.103666","42.349980, -71.103741",,,,,,
StuVi,Student Village,residence,"42.352776, -71.116248","42.352751, -71.116056","42.352483, -71.116115","42.352441, -71.115784","42.352489, -71.115772","42.352470, -71.115606","42.352006, -71.115700","42.352033, -71.115908","42.352294, -71.115851","42.352335, -71.116193","42.352271, -71.116206","42.352285, -71.116350"
StuVi2,Student Village 2,residence,"42.353625, -71.117931","42.353598, -71.117736","42.353326, -71.117793","42.353301, -71.117594","42.352876, -71.117692","42.352903, -71.117918","42.353198, -71.117852","42.353216, -71.118019",,,,
TOW,The Towers,residence,"42.350166, -71.100180","42.349891, -71.100217","42.349831, -71.099431","42.350104, -71.099393","42.350121, -71.099598","42.350088, -71.099605","42.350116, -71.099973","42.350150, -71.099968",,,,
WRT,Warren Towers,residence,"42.349287, -71.105050","42.349051, -71.103047","42.349361, -71.102980","42.349602, -71.104981",,,,,,,,
YAW,Yawkey Center for Student Services,services,"42.349627, -71.097535","42.349692, -71.098306","42.350016, -71.098293","42.349958, -71.097713",,,,,,,,
